File.Name	Initials	Date	Well.Name	Well.Number	Biological.Replicate	Technical.Replicate	Background	Knockout	Overexpression	Temp	pH	Media	NaCl.Concentration	MgSO4.Concentration	KCl.Concentration	Arg.Concentration	Pyruvate.Concentration	Asp.Concentration	Glycerol.Concentration
ResultsKB201101271.csv	KB	201101271	CM5_NRC1_1.1	236	1	1	NRC1	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_NRC1_1.2	237	1	2	NRC1	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_NRC1_1.3	238	1	3	NRC1	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_NRC1_2.1	239	2	1	NRC1	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_NRC1_2.2	242	2	2	NRC1	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM5_NRC1_2.3	243	2	3	NRC1	NA	NA	37	NA	CM	4.28	0.41	0.03	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_1.1	244	1	1	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_1.2	245	1	2	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_1.3	246	1	3	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_2.1	247	2	1	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_2.2	248	2	2	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_2.3	249	2	3	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_3.1	252	3	1	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_3.2	253	3	2	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_3.3	254	3	3	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_4.1	255	4	1	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_4.2	256	4	2	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_ura3_4.3	257	4	3	Dura3	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_NRC1_1.1	258	1	1	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_NRC1_1.2	259	1	2	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	x	261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_NRC1_1.3	262	1	3	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_NRC1_2.1	263	2	1	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_NRC1_2.2	264	2	2	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
ResultsKB201101271.csv	KB	201101271	CM6_NRC1_2.3	265	2	3	NRC1	NA	NA	37	NA	CM	4.28	0.08	0.13	NA	NA	NA	NA
